[PERF] units H:37 E:47 | tick avg 0.50ms max 5.97ms (n=300) | move 50.5ms | target 0.2ms (66 calls) | path 1.8ms max 0.54ms (4 calls) | fog 54.4ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:48 | tick avg 0.48ms max 5.83ms (n=300) | move 49.6ms | target 0.2ms (68 calls) | path 0.4ms max 0.37ms (1 calls) | fog 47.4ms | minimap 0.3ms | ai 1.8ms | window 5.0s
[PERF] units H:37 E:49 | tick avg 0.48ms max 5.91ms (n=300) | move 48.3ms | target 0.2ms (79 calls) | path 1.0ms max 0.38ms (3 calls) | fog 53.0ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:49 | tick avg 0.48ms max 6.12ms (n=300) | move 46.7ms | target 0.6ms (278 calls) | path 1.8ms max 0.41ms (5 calls) | fog 53.1ms | minimap 0.3ms | ai 0.4ms | window 5.0s
[PERF] units H:37 E:49 | tick avg 0.51ms max 5.79ms (n=300) | move 55.1ms | target 1.0ms (427 calls) | path 1.5ms max 0.38ms (4 calls) | fog 53.4ms | minimap 0.3ms | ai 0.2ms | window 5.0s
[PERF] units H:37 E:48 | tick avg 0.49ms max 5.94ms (n=300) | move 53.2ms | target 0.2ms (83 calls) | path 1.0ms max 0.38ms (3 calls) | fog 48.2ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:47 | tick avg 0.52ms max 6.04ms (n=300) | move 57.6ms | target 0.2ms (66 calls) | path 10.3ms max 2.62ms (13 calls) | fog 54.3ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:51 | tick avg 0.49ms max 5.92ms (n=301) | move 51.7ms | target 0.2ms (65 calls) | path 5.5ms max 5.18ms (2 calls) | fog 53.7ms | minimap 0.3ms | ai 1.3ms | window 5.0s
[PERF] units H:37 E:51 | tick avg 0.58ms max 6.24ms (n=300) | move 69.0ms | target 1.9ms (799 calls) | path 16.0ms max 5.18ms (8 calls) | fog 52.9ms | minimap 0.3ms | ai 0.6ms | window 5.0s
[PERF] units H:37 E:48 | tick avg 0.50ms max 5.80ms (n=301) | move 50.9ms | target 1.0ms (405 calls) | path 1.7ms max 0.38ms (5 calls) | fog 47.4ms | minimap 0.3ms | ai 0.1ms | window 5.0s
